,names_on_brewery_api,name_on_yelp,yelp_business_id,yelp_rating,yelp_review_count,yelp_closed_status
311,Amplified Ale Works,Amplified Ale Works,Q1jUmb6EDtpB9TZdRrzB6A,4.0,850,False
312,Ballast Point Brewing Company,Ballast Point Miramar,1Zx3bCuu7e8Wg2qxCKW6nA,4.0,1808,False
313,Ballast Point Brewing Company,Ballast Point Miramar,1Zx3bCuu7e8Wg2qxCKW6nA,4.0,1808,False
314,Clayton Brewing Co,Arrow Lodge Brewing,_rnOwGTo9a9sXBYROMHaHQ,4.0,143,False
315,San Fernando Brewing Co.,San Fernando Brewing Company,9Pb8AbX0UPCcNQ-1Kj4bsw,4.5,202,False
316,Black Hammer Brewing,Black Hammer Brewing,eDP8OzpjR1d1HTsg85Bntw,4.5,312,False
317,Fort Point Beer Company,Fort Point Beer,jko3-lJUDaN0KCMHs-1xGQ,4.5,83,False
318,Magnolia Dogpatch,Magnolia Dogpatch,l8bcDyjM3LlYbCkuC7eEXA,3.5,52,False
319,Sufferfest Beer Company,Arthur Mac's Tap and Snack,Ir7DYLrNK3nGQzyB0H96Hw,4.0,227,False
320,Woods Cerveceria,Woods Cervecería,dlDdlCew3UHfKlKNOtNHPw,4.0,193,False
321,Beach Chalet Brewing Co,Park Chalet Coastal Beer Garden,g2PCC7_4ciQbxiMRlFGAeQ,3.0,1292,False
322,21st Amendment Brewery Cafe,21st Amendment Brewery,2FhkLW_EwD-CwOzteklkIA,3.5,2426,False
323,47 Hills Brewing Co,47 Hills Brewing Company,l8k215ZAfPgSOF9ULhHFow,4.5,151,False
324,Anchor Brewing Co,Anchor Brewing Company,nBo7CETnSyrzIoGbRnhuJA,5.0,679,False
325,Barebottle Brewing Company,Barebottle Brewing Company,bur2BvDqSvgz0xEBe8HGmg,4.5,347,False
326,Barrel Head Brewhouse,Barrel Head Brewhouse,TCaagQVqECB97vJAs4t9Mg,4.0,510,False
327,Bartlett Hall,Bartlett Hall,PqeHQAMWUWzyL8qsmHltoQ,3.5,802,False
328,Black Sands Brewery,Black Sands,kIjsWd9EcPgp_wsZjKTDTg,3.5,285,False
329,Brewery in Planning - Calistoga,Downtown Joe's Brewery and Restaurant,pP0J1oF56hWLDphcYonrkA,3.5,812,False
330,Cellarmaker Brewing Company,Cellarmaker Brewing Company,lvi8XsOdYTz2K3vhCCwe5Q,4.5,431,False
331,Harmonic Brewing,Harmonic Brewing,nCWnWdwrDf1iSm0qyJHCug,4.5,126,False
332,K-Oz Restaurant Brewery,K-OZ Restaurant and Brewery,qIJwRdHtHbQQzZsBkWwy1Q,3.5,100,False
333,Ogopogo Brewing,Ogopogo Brewing,Txwg0QihaEEEUbGfudDJVA,5.0,77,False
334,Hermitage Brewing Company,Hermitage Brewery,zYgWuUMdSoHpiB0FQJWB7w,4.5,235,False
335,Ale House Brewing Co,Camino Brewing Co,AkmxzdiNMTtkykYj8NU8hw,4.5,81,False
336,Bison Brewing Co,Rock Bottom Restaurant & Brewery,pMO-6M6SqhaukFJtzUWTzw,3.0,1406,False
337,Gordon Biersch Brewing Co,Gordon Biersch Brewing Company,xCiBQ0LFquC2yVwEymQl3w,4.5,61,False
338,Hapa's Brewing Company,Hapa's Brewing Company,zOSaawR2dgFrihyZofy6ZA,4.5,235,False
339,Moksha Beer,DOSA on Fillmore,U1TgSEKZwgdTftTOxCtFOQ,4.0,2921,False
340,Santa Clara Valley Brewing,"Santa Clara Valley Brewing, Inc",qqRJCegJ6XWiXHmQTtIoBA,4.0,87,False
341,South Bay Brewco,Half Moon Bay Brewing Company,0i9jcPfTpqGVtss0zGGCIQ,3.5,1738,False
342,Uproar Brewing,Uproar Brewing Company,ktQlyhPUWjM8A8hJk61Ogw,4.0,264,False
343,Whole Foods Market Brewing Company- Floodcraft Brewing,Whole Foods Market,sxO97hM8SveUJp8hiOrJJQ,4.0,401,False
344,Cleophus Quealy Beer Company,Cleophus Quealy,1vFcD2jTtLeIqkCGzuS_zw,4.5,125,False
345,Dr Hops Kombucha Beer,Sierra Nevada Torpedo Room,MiliA5YETxsWxr4zQitEgQ,4.5,247,False
346,7 Sisters Brewing Co,Tap It Brewing,Cy2r8Wzj0tYPTompjNY8nQ,4.5,100,False
347,Libertine Brewing Company,Libertine Brewing Company,N75q1fYGBEd1DCTnw_VDRA,4.0,185,False
348,Underground Brewing Co.,Underground Brewing Co.,Jwn4fyDpzjCYTDbv9MIS6Q,4.5,67,True
349,Bang the Drum Brewery,Bang The Drum Brewery,knCHYQsIMfWzIDMeYmwfmA,4.0,114,False
350,Central Coast Brewing Co - Higuera St.,Central Coast Brewing,a79PKJkJw0-agf3rZEsIFA,4.5,233,False
351,SLO Brewing Co,SLO Brew,R0o4dxEqtgFu6VSknrbbBQ,3.5,370,False
352,There Does Not Exist,Madonna Inn,w9BOHQoj8rVCwimdH-nPWQ,4.0,1119,False
353,Port Brewing Co / The Lost Abbey,The Lost Abbey,l6UMwsi0NnAX3Tm6ru7aGw,4.0,483,False
354,Dos Desperados Brewery,Dos Desperados Brewery,ynTCuV97IWdSYSHHWU1jiA,4.5,90,False
355,Stumblefoot Brewing,Stumblefoot Brewing Company,XRAC_nTqFiU3vFKZnfSnCw,4.0,107,False
356,Urge Gastropub & Common House/Mason Ale Works,Urge Gastropub & Common House,HbenatMYM8QAv1HkkslKVw,3.5,546,False
357,Wild Barrel Brewing Company,Wild Barrel Brewing,cyxtFys5AkKddBr-xQ6p8A,4.5,151,False
358,State Room Brewery,State Room,DtoeXGzL9g6IiJMfQkTcBQ,4.0,366,False
359,Canyon Lakes Golf Course & Brewery,Canyon Lakes Golf Course,fMyo6UL1FKhuoTk4aLmr2A,3.5,80,False
360,House Of Pendragon Brewing Co,House of Pendragon Brewing,eN2Xlrt40vm0ni9HFZPi1Q,4.5,106,False
361,Deans Brothers Brewing Co.,Docent Brewing,00G4zUZcQSa4CgfPc5X7zA,4.5,275,False
362,Network Brewery,Network Brewery,HzxLLWpSlMzEJAupmHfhFw,4.5,107,False
363,Old 290 Brewery,BJ's Restaurant & Brewhouse,I2mhPqjE6occH5R_qxXg4w,3.0,717,False
364,"The Good Beer Company, Inc.",BJ's Restaurant & Brewhouse,qsB5M-VDw0n93IKnOXpQSA,3.0,1108,False
365,Pure Order Brewing Co,Pure Order Brewing,Tw5tderBUFzj7fRLVZm2Bg,4.5,78,False
366,Santa Barbara Brewing Co,Santa Barbara Brewing Co,KC8_Rx4Orlsz8LIonCYXsA,3.5,654,True
367,Telegraph Brewing Co,Telegraph Brewing Company,T0TAXNzN7oY1wRC8jslTjw,4.0,133,False
368,The Brewhouse,The Brewhouse,FTFaEinJgzqY0ZHQMUSpQQ,3.5,650,False
369,Golden State Brewery,Golden State Brewery,e_Ay9SwB3Lmn2srg7I6xTA,4.5,154,False
370,Taplands Brewery,Taplands,xFbceEJZeM_ViNnpbV3kaw,4.5,202,False
371,Pocock Brewing Company,Pocock Brewing Company,551OtNLPBcrCbXy7o23L-g,4.5,111,False
372,Shanty Shack Brewing,Shanty Shack Brewing,dUn_IxzAw_t5QWFj2g-5Aw,4.5,62,False
373,East Cliff Brewing Company,East Cliff Brewing Company,1MRbxbLHItRgSmYBtvsFig,4.5,63,False
374,Humble Sea Brewing Co,Santa Cruz Mountain Brewing,T_GBdBFFH88wtAv335itrw,4.0,374,False
